研究分野,ユニット名,研究拠点,参画する技術研究組合,所在地,WebサイトURL
生命工学領域,健康医工学研究部門,四国センター、つくばセンター（中央、東）,,〒761‑0395香川県高松市林町2217‑14電話：087‑869‑3526　FAX：087‑869‑4178,https://unit.aist.go.jp/hmri
生命工学領域,細胞分子工学研究部門,つくばセンター（中央）、臨海副都心センター,"幹細胞評価基盤技術研究組合(SCETRA)	次世代天然物化学技術研究組合",〒305-8568　茨城県つくば市東1-1-1　つくば中央第5、第6Eメールアドレス：M-cmb5-info-ml*aist.go.jp（*を@に変更して使用してください。）,https://unit.aist.go.jp/cmb5/
材料・化学領域,機能化学研究部門,つくばセンター（中央）、中国センター,,"中国センター〒739-0046 広島県東広島市鏡山3-11-32電話：082-420-8230　FAX：082-423-7820つくばセンター〒305-8565 茨城県つくば市東1-1-1 中央第5電話：029-862-6792　FAX：029-861-4457",https://unit.aist.go.jp/ischem/index.html
材料・化学領域,化学プロセス研究部門,東北センター、つくばセンター（中央）,,"東北センター〒983-8551 宮城県仙台市宮城野区苦竹4-2-1電話：022-237-5208　FAX：022-232-7002つくばセンター〒305-8565 茨城県つくば市東1-1-1 中央第5",https://unit.aist.go.jp/cpt/index.html
材料・化学領域,ナノ材料研究部門,つくばセンター（中央、東）、関西センター,"未利用熱エネルギー革新的活用技術研究組合（TherMAT）	新構造材料技術研究組合（ISMA）","つくばセンター〒305-8565 茨城県つくば市東1-1-1 中央第5電話：029-862-6785　FAX：029-861-6236関西センター〒563-8577 大阪府池田市緑丘1-8-31電話：072-751-9521　FAX：072-751-9637",https://unit.aist.go.jp/nmri/index.html
材料・化学領域,極限機能材料研究部門,中部センター,自動車用内燃機関技術研究組合(AICE）,"中部センター〒463-8560 愛知県名古屋市守山区下志段味穴ヶ洞2266-98電話：052-736-7378　FAX：052-736-7405",https://unit.aist.go.jp/ifm-ri
材料・化学領域,マルチマテリアル研究部門,中部センター,"新構造材料技術研究組合（ISMA）	未利用熱エネルギー革新的活用技術研究組合（TherMAT）","〒463-8560 愛知県名古屋市守山区下志段味穴ヶ洞2266-98電話：052-736-7086　FAX：052-736-7406",https://unit.aist.go.jp/mmri
材料・化学領域,触媒化学融合研究センター,つくばセンター（中央）,未利用熱エネルギー革新的活用技術研究組合（TherMAT）,"〒305-8565 茨城県つくば市東1-1-1 中央第5電話：029-861-6052　FAX：029-861-6052",https://irc3.aist.go.jp/
材料・化学領域,ナノチューブ実用化研究センター,つくばセンター（中央）,単層CNT融合新材料研究開発機構（TASC）,"〒305-8565 茨城県つくば市東1-1-1 中央第5電話：029-861-4551　FAX：029-851-5425",https://unit.aist.go.jp/cnta/index.html
材料・化学領域,機能材料コンピュテーショナルデザイン研究センター,つくばセンター（中央）,未利用熱エネルギー革新的活用技術研究組合（TherMAT）,"〒305-8565 茨城県つくば市梅園1-1-1 中央第２電話：029-861-3170　FAX：029-861-3171",https://unit.aist.go.jp/cd-fmat/index.html
材料・化学領域,磁性粉末冶金研究センター,中部センター,高効率モーター用磁性材料技術研究組合（MagHEM）,〒463-8560　愛知県名古屋市守山区下志段味穴ケ洞2266-98電話：052-736-7680　FAX：052-736-7681,https://unit.aist.go.jp/magmet/index.html
エレクトロニクス・製造領域,製造技術研究部門,つくばセンター（東）,,"〒305-8564 茨城県つくば市並木1-2-1",http://unit.aist.go.jp/am-ri/
エレクトロニクス・製造領域,デバイス技術研究部門,つくばセンター（中央、西、東）,"技術研究組合NMEMS 技術研究機構	技術研究組合次世代3D積層造形技術総合開発機構","〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-3483　FAX：029-861-5088",https://unit.aist.go.jp/d-tech
エレクトロニクス・製造領域,電子光基礎技術研究部門,つくばセンター（中央）,,"〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-3490　FAX：029-861-5627",https://unit.aist.go.jp/riaep/
エレクトロニクス・製造領域,先進コーティング技術研究センター,つくばセンター（中央、東、西）,先進コーティングアライアンス（ADCAL),"〒305-8565 茨城県つくば市東1-1-1 中央第5〒305-8564 茨城県つくば市並木1-2-1 つくば東",https://unit.aist.go.jp/atc/
エレクトロニクス・製造領域,センシングシステム研究センター,つくばセンター（中央、東）、九州センター,,"〒305-8565 茨城県つくば市東1-1-1 中央第5電話：029-861-4516　FAX：029-849-1047",https://unit.aist.go.jp/ssrc/
エレクトロニクス・製造領域,新原理コンピューティング研究センター,つくばセンター（中央）,,"〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-5433　FAX：029-861-3432",https://unit.aist.go.jp/rcect/
エレクトロニクス・製造領域,プラットフォームフォトニクス研究センター,つくばセンター（中央・西）,技術研究組合光電子融合基盤技術研究所（PETRA）,"〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-5254　FAX：029-861-5255",https://unit.aist.go.jp/pprc
地質調査総合センター,地質情報研究部門,つくばセンター（中央）,,"〒305-8567 茨城県つくば市東1-1-1 中央第7電話：029-861-3620　FAX：029-861-3742",https://unit.aist.go.jp/igg/ja/
地質調査総合センター,活断層・火山研究部門,つくばセンター（中央）,,"〒305-8567 茨城県つくば市東1-1-1 中央第7電話：029-861-3691　FAX：029-861-3803",https://unit.aist.go.jp/ievg/index.html
地質調査総合センター,地圏資源環境研究部門,つくばセンター（中央、西）,,"〒305-8567 茨城県つくば市東1-1-1 中央第7電話：029-861-3633　FAX：029-861-3717",https://unit.aist.go.jp/georesenv/
地質調査総合センター,地質情報基盤センター,つくばセンター（中央）,,"〒305-8567 茨城県つくば市東1-1-1 中央第7電話：029-861-9122　FAX：029-861-3602",https://www.gsj.jp/geoinfo-center/index.html
計量標準総合センター,工学計測標準研究部門,つくばセンター（中央）,,"〒305-8563 茨城県つくば市梅園1-1-1 中央第3電話：029-861-4346　FAX：029-861-4099",https://unit.aist.go.jp/riem/
計量標準総合センター,物理計測標準研究部門,つくばセンター（中央）,,〒305-8563　茨城県つくば市梅園1-1-1　中央第３電話：029-861-4346　FAX：029-861-4099,https://unit.aist.go.jp/ripm/
計量標準総合センター,物質計測標準研究部門,つくばセンター（中央）,,"〒305-8563 茨城県つくば市梅園1-1-1 中央第3電話：029-861-4346　FAX：029-861-4099",https://unit.aist.go.jp/mcml/
計量標準総合センター,分析計測標準研究部門,つくばセンター（中央）,新構造材料技術研究組合（ISMA）,"〒305-8568 茨城県つくば市梅園1-1-1 中央第2電話：029-861-4346　FAX：029-861-4099",https://unit.aist.go.jp/rima/
計量標準総合センター,計量標準普及センター,つくばセンター（中央）,,〒305-8563　茨城県つくば市梅園1-1-1　中央第3電話：029-861-4346　FAX：029-861-4099,https://unit.aist.go.jp/nmij/
