名前,個人URL,ORCID,所属、役職,所属、役職URL,住所,アクセス方法,研究キーワード
"阿部 太一 (ABE, Taichi) ",https://samurai.nims.go.jp//profiles/abe_taichi,https://orcid.org/0000-0002-5065-0939,"構造材料研究拠点,設計・創造分野,計算構造材料グループ,主席研究員,磁性・スピントロニクス材料研究拠点,元素戦略磁性材料研究拠点,電子論グループ,主席研究員,統合型材料開発・情報基盤部門,材料データプラットフォームセンター,材料データベースグループ,主席研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta80,https://samurai.nims.go.jp//profiles?employee_position=G4900,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs300,https://samurai.nims.go.jp//profiles?unit=rs320,https://samurai.nims.go.jp//profiles?employee_position=G4900,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj500,https://samurai.nims.go.jp//profiles?unit=kj590,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"CALPHAD法,計算熱力学,状態図"
"阿部 英樹 (ABE, Hideki) ",https://samurai.nims.go.jp//profiles/abe_hideki,https://orcid.org/0000-0002-8392-7586,"エネルギー・環境材料研究拠点,独立研究者,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?employee_position=G5880","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"Intermetallic compounds, nanoparticles, catalysts"
"阿部 冨士雄 (ABE, Fujio) ",https://samurai.nims.go.jp//profiles/abe_fujio,https://orcid.org/0000-0001-8053-0885,,,"305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"フェライト系耐熱鋼,超々臨界圧火力発電,長時間安定性"
"天野 晃 (AMANO, Kou) ",https://samurai.nims.go.jp//profiles/amano_kou,https://orcid.org/0000-0002-8079-4941,"統合型材料開発・情報基盤部門,材料データプラットフォームセンター,データシステムグループ,客員研究者,","https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj500,https://samurai.nims.go.jp//profiles?unit=kj580,https://samurai.nims.go.jp//profiles?employee_position=P8500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"自動分類, 分類妥当性指標, グラフ構造解析, 社会ネットワーク分析, 形式言語処理"
"天谷 宗徳 (AMAYA, Munenori) ",https://samurai.nims.go.jp//profiles/amaya_munenori,https://orcid.org/0000-0002-2408-0485,"機能性材料研究拠点,電気・電子機能分野,超伝導システムグループ,外来研究者,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpbb0,https://samurai.nims.go.jp//profiles?employee_position=P8700","305-0003 茨城県つくば市桜3-13 ",https://www.nims.go.jp/nims/office/tsukuba_sakura.html,
"雨倉 宏 (AMEKURA, Hiroshi) ",https://samurai.nims.go.jp//profiles/amekura_hiroshi,https://orcid.org/0000-0003-2148-8431,"エネルギー・環境材料研究拠点,液体水素材料研究センター,水素材料制御グループ,主席研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq500,https://samurai.nims.go.jp//profiles?unit=rq530,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0003 茨城県つくば市桜3-13 ",https://www.nims.go.jp/nims/office/tsukuba_sakura.html,"イオン注入／イオン照射, ナノ粒子, 光学的特性"
"新井 正男 (ARAI, Masao) ",https://samurai.nims.go.jp//profiles/arai_masao,https://orcid.org/0000-0003-0088-5649,"技術開発・共用部門,材料数値シミュレータステーション,ステーション長,国際ナノアーキテクトニクス研究拠点(MANA),ナノセオリー分野,ナノ計算材料科学グループ,グループリーダー,","https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh310,https://samurai.nims.go.jp//profiles?employee_position=G0850,https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp600,https://samurai.nims.go.jp//profiles?unit=mp630,https://samurai.nims.go.jp//profiles?employee_position=G2050","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"電子物性,第一原理計算,超伝導"
"新井 志大 (ARAI, Yukinaga) ",https://samurai.nims.go.jp//profiles/arai_yukinaga,https://orcid.org/0000-0002-5928-7355,"技術開発・共用部門,ナノテクノロジー融合ステーション,ナノファブリケーショングループ,研究業務員,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh370,https://samurai.nims.go.jp//profiles?unit=kh371,https://samurai.nims.go.jp//profiles?employee_position=P7800","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"荒金 吾郎 (ARAKANE, Goro) ",https://samurai.nims.go.jp//profiles/arakane_goro,https://orcid.org/0000-0001-6648-4560,"技術開発・共用部門,材料創製・加工ステーション,材料創製グループ,嘱託職員(旧称：フレッシュキャリア),","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh320,https://samurai.nims.go.jp//profiles?unit=kh321,https://samurai.nims.go.jp//profiles?employee_position=P7900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"荒木 弘 (ARAKI, Hiroshi) ",https://samurai.nims.go.jp//profiles/araki_hiroshi,https://orcid.org/0000-0002-6895-0630,,,"305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"荒船 竜一 (ARAFUNE, Ryuichi) ",https://samurai.nims.go.jp//profiles/arafune_ryuichi,https://orcid.org/0000-0003-4371-6116,"国際ナノアーキテクトニクス研究拠点(MANA),ナノシステム分野,表面量子相物質グループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp300,https://samurai.nims.go.jp//profiles?unit=mp3i0,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"有賀 克彦 (ARIGA, Katsuhiko) ",https://samurai.nims.go.jp//profiles/ariga_katsuhiko,https://orcid.org/0000-0002-2445-2955,"国際ナノアーキテクトニクス研究拠点(MANA),MANA主任研究者,国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,超分子グループ,グループリーダー,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?employee_position=G0600,https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2h0,https://samurai.nims.go.jp//profiles?employee_position=G2050","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,ナノ材料・ナノバイオサイエンス
"有沢 俊一 (ARISAWA, Shunichi) ",https://samurai.nims.go.jp//profiles/arisawa_shunichi,https://orcid.org/0000-0001-8155-9401,"機能性材料研究拠点,上席研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?employee_position=G4450","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"薄膜・表面界面物性 電子・電気材料工学 金属物性 無機材料・物性"
"安藤 寿浩 (ANDO, Toshihiro) ",https://samurai.nims.go.jp//profiles/ando_toshihiro,https://orcid.org/0000-0002-1794-1048,"機能性材料研究拠点,運営室,室長,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rp100,https://samurai.nims.go.jp//profiles?employee_position=G2200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"Diamond, Carbon-Nano-Tube, Nano-Diamond"
"安藤 嘉倫 (ANDOH, Yoshimichi) ",https://samurai.nims.go.jp//profiles/andoh_yoshimichi,https://orcid.org/0000-0001-5027-4120,"技術開発・共用部門,材料数値シミュレータステーション,主任エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh310,https://samurai.nims.go.jp//profiles?employee_position=G5650","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"Parallel programing of software,HPC (High-Performacne Computing),Molecular dynamics calculations,Fast multipole method (FMM),Self assemblies of biomolecules"
"イ ジャンホ (YI, Jangho) ",https://samurai.nims.go.jp//profiles/yi_jangho,https://orcid.org/0000-0002-9458-8655,"構造材料研究拠点,解析・評価分野,構造材料組織解析技術グループ,NIMSポスドク研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtc00,https://samurai.nims.go.jp//profiles?unit=rtc60,https://samurai.nims.go.jp//profiles?employee_position=P7600","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"井 誠一郎 (II, Seiichiro) ",https://samurai.nims.go.jp//profiles/ii_seiichiro,https://orcid.org/0000-0003-3999-384X,"構造材料研究拠点,解析・評価分野,構造材料組織解析技術グループ,主幹研究員,技術開発・共用部門,電子顕微鏡解析ステーション,組織解析グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtc00,https://samurai.nims.go.jp//profiles?unit=rtc60,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh3c0,https://samurai.nims.go.jp//profiles?unit=kh3c1,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"金属物性 無機材料・物性 構造・機能材料"
"井伊 伸夫 (IYI, Nobuo) ",https://samurai.nims.go.jp//profiles/iyi_nobuo,https://orcid.org/0000-0001-5547-7031,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,フロンティア分子グループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2l0,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"機能物質化学 環境関連化学 無機工業材料"
"飯嶋 安男 (IIJIMA, Yasuo) ",https://samurai.nims.go.jp//profiles/iijima_yasuo,https://orcid.org/0000-0002-9008-9429,"機能性材料研究拠点,電気・電子機能分野,低温超伝導線材グループ,嘱託職員(旧称：フレッシュキャリア),","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb60,https://samurai.nims.go.jp//profiles?employee_position=P7900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"超伝導,急熱急冷,複合加工"
"飯田 一彦 (IIDA, Kazuhiko) ",https://samurai.nims.go.jp//profiles/iida_kazuhiko,https://orcid.org/0000-0001-9560-8614,"技術開発・共用部門,材料創製・加工ステーション,材料創製グループ,エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh320,https://samurai.nims.go.jp//profiles?unit=kh321,https://samurai.nims.go.jp//profiles?employee_position=G5900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"飯田 裕希 (IIDA, Yuki) ",https://samurai.nims.go.jp//profiles/iida_yuki,https://orcid.org/0000-0002-3477-2661,"磁性・スピントロニクス材料研究拠点,スピントロニクスグループ,NIMSポスドク研究員,","https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs230,https://samurai.nims.go.jp//profiles?employee_position=P7600","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"飯村 壮史 (IIMURA, Soshi) ",https://samurai.nims.go.jp//profiles/iimura_soshi,https://orcid.org/0000-0003-3270-155X,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,固体化学，イオン伝導体，半導体，超伝導体，第一原理計算，高圧合成，中性子散乱，
"井口 亮 (IGUCHI, Ryo) ",https://samurai.nims.go.jp//profiles/iguchi_ryo,https://orcid.org/0000-0002-8112-4608,"磁性・スピントロニクス材料研究拠点,スピンエネルギーグループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs250,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"池田 亜矢子 (IKEDA, Ayako) ",https://samurai.nims.go.jp//profiles/ikeda_ayako,https://orcid.org/0000-0002-1705-9004,"構造材料研究拠点,設計・創造分野,超耐熱材料グループ,研究員,磁性・スピントロニクス材料研究拠点,元素戦略磁性材料研究拠点,電子論グループ,研究員,統合型材料開発・情報基盤部門,SIP-MIラボ,粉末製造ＭＩチーム,研究員,統合型材料開発・情報基盤部門,マテリアルズインテグレーションコンソーシアム,研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta40,https://samurai.nims.go.jp//profiles?employee_position=G5800,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs300,https://samurai.nims.go.jp//profiles?unit=rs320,https://samurai.nims.go.jp//profiles?employee_position=G5800,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj200,https://samurai.nims.go.jp//profiles?unit=kj280,https://samurai.nims.go.jp//profiles?employee_position=G5800,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kja00,https://samurai.nims.go.jp//profiles?employee_position=G5800","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"状態図,熱分析,拡散"
"池田 太一 (IKEDA, Taichi) ",https://samurai.nims.go.jp//profiles/ikeda_taichi,https://orcid.org/0000-0001-6650-5798,"機能性材料研究拠点,ポリマー・バイオ分野,電子機能高分子グループ,主任研究員,統合型材料開発・情報基盤部門,材料データプラットフォームセンター,材料データベースグループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpa00,https://samurai.nims.go.jp//profiles?unit=rpa20,https://samurai.nims.go.jp//profiles?employee_position=G5500,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj500,https://samurai.nims.go.jp//profiles?unit=kj590,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,有機ナノシート・自己修復材料・インターロック構造・有機半導体
"池田 勉 (IKEDA, Tsutomu) ",https://samurai.nims.go.jp//profiles/ikeda_tsutomu,https://orcid.org/0000-0002-1754-6881,"機能性材料研究拠点,運営室,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rp100","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"池田 直樹 (IKEDA, Naoki) ",https://samurai.nims.go.jp//profiles/ikeda_naoki,https://orcid.org/0000-0002-9552-7467,"技術開発・共用部門,ナノテクノロジー融合ステーション,ナノファブリケーショングループ,主任エンジニア,技術開発・共用部門,微細加工プラットフォーム,主任エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh370,https://samurai.nims.go.jp//profiles?unit=kh371,https://samurai.nims.go.jp//profiles?employee_position=G5650,https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh230,https://samurai.nims.go.jp//profiles?employee_position=G5650","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"伊坂 紀子 (ISAKA, Noriko) ",https://samurai.nims.go.jp//profiles/isaka_noriko,https://orcid.org/0000-0001-9917-4104,"技術開発・共用部門,電子顕微鏡解析ステーション,ナノ構造解析グループ,NIMSエンジニア職,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh3c0,https://samurai.nims.go.jp//profiles?unit=kh3c3,https://samurai.nims.go.jp//profiles?employee_position=P7670","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"砂金 宏明 (ISAGO, Hiroaki) ",https://samurai.nims.go.jp//profiles/isago_hiroaki,https://orcid.org/0000-0003-0963-9057,,,"305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,機能性色素
"石井 健斗 (ISHII, Kento) ",https://samurai.nims.go.jp//profiles/ishii_kento,https://orcid.org/0000-0003-2029-9655,"機能性材料研究拠点,光機能分野,微粒子工学グループ,NIMSポスドク研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc70,https://samurai.nims.go.jp//profiles?employee_position=P7600","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"セラミックス,コロイドプロセス,組織制御"
"石井 智 (ISHII, Satoshi) ",https://samurai.nims.go.jp//profiles/sishii,https://orcid.org/0000-0003-0731-8428,"国際ナノアーキテクトニクス研究拠点(MANA),ナノシステム分野,ナノ光制御グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp300,https://samurai.nims.go.jp//profiles?unit=mp3h0,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"光熱変換,光電変換,熱放射,メタマテリアル,ナノ光学"
"石井 真史 (ISHII, Masashi) ",https://samurai.nims.go.jp//profiles/ishii_masashi,https://orcid.org/0000-0003-0357-2832,"統合型材料開発・情報基盤部門,材料データプラットフォームセンター,材料データベースグループ,グループリーダー,磁性・スピントロニクス材料研究拠点,元素戦略磁性材料研究拠点,解析評価グループ,主席研究員,先端材料解析研究拠点,原子構造物性分野,表界面物理計測グループ,主席研究員,","https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj500,https://samurai.nims.go.jp//profiles?unit=kj590,https://samurai.nims.go.jp//profiles?employee_position=G2050,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs300,https://samurai.nims.go.jp//profiles?unit=rs340,https://samurai.nims.go.jp//profiles?employee_position=G4900,https://samurai.nims.go.jp//profiles?unit=kf000,https://samurai.nims.go.jp//profiles?unit=kf300,https://samurai.nims.go.jp//profiles?unit=kf330,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"石岡 邦江 (ISHIOKA, Kunie) ",https://samurai.nims.go.jp//profiles/ishioka_kunie,https://orcid.org/0000-0002-2285-8839,"エネルギー・環境材料研究拠点,電池材料解析グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq3c0,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"光物性,超高速分光,格子振動"
"石川 敦之 (ISHIKAWA, Atsushi) ",https://samurai.nims.go.jp//profiles/ishikawa_atsushi,https://orcid.org/0000-0001-6908-831X,"エネルギー・環境材料研究拠点,界面計算科学グループ,主任研究員,エネルギー・環境材料研究拠点,先進蓄電池研究開発拠点,計算科学チーム,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq370,https://samurai.nims.go.jp//profiles?employee_position=G5500,https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq600,https://samurai.nims.go.jp//profiles?unit=rq690,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"第一原理計算,量子化学,触媒化学"
